username,tweetcreatedts,text
just_waiters,2022-07-30 23:55:58,RT @kfreiii: @kemkominfo Kata temen syaa yang pernah magang di situ aja gitu ngomongnya. Gimana mau memajukan teknologi Indonesia kalo isin…
Garaa30,2022-07-30 23:55:55,"RT @MstrYoda: Kpd yg tidak terhormat @kemkominfo ,
Mengapa kalian begitu tidak bijak dalam melakukan sesuatu? Kalian sangat merugikan masya…"
drancodile_nft,2022-07-30 23:55:52,RT @fathXwibu: @kemkominfo inget y lu pada!!!!jangan memutus rezeki org lain bisa gk?Kelen punya otak gk sih sekolah tinggi² tp gk guna men…
Krippy_Creepy,2022-07-30 23:55:48,RT @MontokLili: Crot vcs gak bisa tidur #BlokirKominfo #SANGE_AAAAAAAAAAH https://t.co/2Z4WbpBR1P
ekprasetiyo,2022-07-30 23:55:46,"RT @sLuffiO: komintod 🤓🤓
#KominfoKontol #BlokirKominfo https://t.co/9uLxPcLOhV"
restianaPH,2022-07-30 23:55:46,"RT @MstrYoda: Kpd yg tidak terhormat @kemkominfo ,
Mengapa kalian begitu tidak bijak dalam melakukan sesuatu? Kalian sangat merugikan masya…"
mytemy,2022-07-30 23:55:45,"dari #BlokirKominfo kita tau fakta kalo @kemkominfo isinya emang orang2 yg ga kompeten. korup. ngerasa uda wah, padal lemah."
Vikaasn19,2022-07-30 23:55:45,"RT @MstrYoda: Kpd yg tidak terhormat @kemkominfo ,
Mengapa kalian begitu tidak bijak dalam melakukan sesuatu? Kalian sangat merugikan masya…"
apaansiiibg,2022-07-30 23:55:40,RT @secgron: Hari ini dampak dari pemblokiran sewenang-wenang oleh @kemkominfo  udah bisa kita rasakan dan kini saatnya untuk mengambil lan…
ekprasetiyo,2022-07-30 23:55:40,"RT @Mfzxy1: Dear Kominfo,Lu Enak Banget Ya Blokir Steam,Epic games,PayPal,Asal Lu Tau Ajg Banyak gamer Di Seluruh Indonesia Udah Beli Game…"
ekprasetiyo,2022-07-30 23:55:37,"RT @FerdiRizky7: Bayangin udh beli game kena pajak masih aja di blokir,ini kominfo secara tidak langsung nyuruh kita ngebajak game #BlokirK…"
johjije,2022-07-30 23:55:35,"RT @Mfzxy1: Dear Kominfo,Lu Enak Banget Ya Blokir Steam,Epic games,PayPal,Asal Lu Tau Ajg Banyak gamer Di Seluruh Indonesia Udah Beli Game…"
overwelly,2022-07-30 23:55:33,"Bikin akun fb sama ig aja masih minta tolong anaknya kok bisa2nya kerja di @kemkominfo 

#BlokirKominfo #KominfoKontol https://t.co/dzPTmhOLEh"
MisteriaTMR,2022-07-30 23:55:31,"RT @Apin180: ngeblokir egs, steam, paypal
tapi katanya mendukung karya anak bangsa
tapi karya anak bangsa yg dibayar via paypal jadinya dit…"
